,PC1
ADGRD1,0.047596214
ADGRG1,0.047415965
AHI1,0.048992511
APBB2,0.048242895
ARNT2,0.04433835
ATF3,0.048572985
ATP9A,0.044753043
BARX2,0.046070542
BMF,0.045976405
BTNL8,0.045784121
CARMIL3,0.044789075
CAVIN3,0.0449292
CCDC6,0.047208152
CCL22,0.045677028
CLECL1,0.046403689
COL9A2,0.045288492
CRTAM,0.048813942
CTTN,0.045948486
CXCL10,0.047299327
DMD,0.045876638
DOK5,0.047382508
DUSP5,0.044616236
ELL2,0.047213086
EPAS1,0.048560574
G0S2,0.048230815
GDF10,0.04799314
GEM,0.046466344
GNAI1,0.044314144
GNLY,0.047023497
H1F0,0.048021847
HMOX1,0.046030051
HMSD,0.047105144
IFNG,0.042535458
IGLON5,0.047488184
IL26,0.043750239
ING3,0.048170659
IQCJ.SCHIP1,0.046966988
ITPRIPL2,0.046209965
KIR2DL4,0.045573211
KLRC1,0.045300228
KRT79,0.047636686
LMNA,0.047945079
MAGI1,0.046229718
MAP1LC3A,0.045443332
MICALCL,0.044151892
MT2A,0.046238231
MTSS1,0.044691045
MYH6,0.046966014
NCALD,0.048244224
PDLIM4,0.042126496
PLS3,0.046470861
PMCH,0.046016181
POU2AF1,0.047807425
PPARG,0.046412272
PTGS1,0.045358779
PTGS2,0.046636512
PTPN3,0.044099287
RCAN1,0.044251047
RDH10,0.049390529
RGCC,0.047288334
RNF19B,0.045344016
RRAD,0.045282082
SGPP2,0.045907218
SHC4,0.048044864
SHF,0.043219993
SLC41A2,0.044451757
SNAP25,0.045111847
SNX33,0.044555018
TIAM2,0.046750106
TIE1,0.04295746
TNFRSF18,0.045748274
TNFRSF4,0.044555855
TNIP3,0.046194041
TNS3,0.043822575
TP63,0.045738259
TPRG1,0.044323474
UBE2QL1,0.045218401
UBXN10,0.046592001
WLS,0.046722112
ZC3H12C,0.044276502
ZC3H12D,0.045352631
ZNF282,0.045990687
ZNF438,0.046752823
ZNF704,0.045706672
